GENESIS-Tabelle: 22151-0032
Recipients of basic security benefits: Länder,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reference month per quarter, sex/age groups/location of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
benefit provision/public assistance institutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basic security in old age,reduced earning capacity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recipients of basic security benefits (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024
;;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December
Baden-Württemberg;Male;44892;45370;46246;47016;47163;46973;46533;46767;47524;47757;47888;48127;48633;48779;48504;48789;49558;49772;49671;49794;51855;51475;51130;51110;51435;51645;51760;52185;52500;53605;53725;54120;55280;55305;54905;54930;56050;...;...;...
Baden-Württemberg;Female;50677;50992;51803;52430;51811;51195;50467;50551;51006;51184;51091;51444;52030;52223;51900;52113;52606;52548;51959;52102;53310;52680;52090;51980;52170;52455;52645;53410;53970;57410;58255;59560;61050;61290;60675;60735;62080;...;...;...
Baden-Württemberg;Total;95569;96362;98049;99446;98974;98168;97000;97318;98530;98941;98979;99571;100663;101002;100404;100902;102164;102320;101630;101896;105165;104155;103220;103095;103605;104105;104405;105595;106470;111015;111975;113680;116330;116600;115580;115665;118130;...;...;...
Bayern;Male;56317;56925;57205;57869;58803;58913;57892;58440;59279;59677;59753;60177;60978;61225;60391;60542;61782;62163;61437;61415;63800;64155;63200;62535;63070;63295;63280;63800;64580;66170;66665;67065;68720;69195;68865;68860;70265;...;...;...
Bayern;Female;63982;64417;64438;64897;65193;64869;63448;63579;64371;64795;64784;65160;66229;66387;65430;65756;66328;66080;64844;64681;65950;65270;63920;64320;64635;64955;64810;65620;66920;71140;72895;73910;76295;76840;76210;76175;78220;...;...;...
Bayern;Total;120299;121342;121643;122766;123996;123782;121340;122019;123650;124472;124537;125337;127207;127612;125821;126298;128110;128243;126281;126096;129750;129420;127125;126855;127710;128255;128090;129420;131495;137305;139555;140975;145015;146035;145075;145035;148485;...;...;...
Berlin;Male;32300;37174;37991;38923;39385;39481;39267;39610;40151;40658;40930;41417;41906;42307;42296;42663;43269;43616;43664;44041;44065;44680;44650;43490;43200;43445;43085;43040;40540;42785;43325;43405;43870;43880;43780;43655;49725;...;...;...
Berlin;Female;31663;36664;37344;38191;38446;38356;37656;37688;37960;38363;38447;38793;39149;39394;39249;39631;39992;40049;39809;40026;40155;40405;40055;39140;38465;38770;38490;38605;36485;38670;39440;39620;40205;40315;40225;40155;45980;...;...;...
