GENESIS-Tabelle: 22111-0022
Public assistance gross expenditure, revenue,;;;;;;
net expenditure: L�nder, years, types of public assistance;;;;;;
Public assistance expenditure and revenue;;;;;;
;;;;Gross expenditure;Revenue;Net expenditure
;;;;Tsd. EUR;Tsd. EUR;Tsd. EUR
2022;Baden-W�rttemberg;SOZ-03;Subsistence payments;116383;11065;105318
2022;Baden-W�rttemberg;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Baden-W�rttemberg;SOZ-05;Assistance towards healthcare;47212;367;46845
2022;Baden-W�rttemberg;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Baden-W�rttemberg;SOZ-07;Assistance for nursing care;466954;46504;420450
2022;Baden-W�rttemberg;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;76574;2404;74170
2022;Baden-W�rttemberg;;Total;707123;60339;646784
2022;Bayern;SOZ-03;Subsistence payments;170878;10289;160589
2022;Bayern;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Bayern;SOZ-05;Assistance towards healthcare;94176;885;93291
2022;Bayern;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Bayern;SOZ-07;Assistance for nursing care;812965;313363;499602
2022;Bayern;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;110915;10890;100024
2022;Bayern;;Total;1188933;335427;853505
2022;Berlin;SOZ-03;Subsistence payments;72749;3455;69294
2022;Berlin;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Berlin;SOZ-05;Assistance towards healthcare;59673;567;59106
2022;Berlin;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Berlin;SOZ-07;Assistance for nursing care;326237;9583;316654
2022;Berlin;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;53019;339;52680
2022;Berlin;;Total;511678;13944;497734
2022;Brandenburg;SOZ-03;Subsistence payments;30632;1964;28668
2022;Brandenburg;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Brandenburg;SOZ-05;Assistance towards healthcare;15457;32;15426
2022;Brandenburg;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Brandenburg;SOZ-07;Assistance for nursing care;76339;4679;71660
2022;Brandenburg;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;7989;256;7732
2022;Brandenburg;;Total;130417;6931;123486
2022;Bremen;SOZ-03;Subsistence payments;21739;1452;20287
2022;Bremen;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Bremen;SOZ-05;Assistance towards healthcare;11869;113;11757
2022;Bremen;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Bremen;SOZ-07;Assistance for nursing care;50278;2408;47869
2022;Bremen;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;9481;439;9043
2022;Bremen;;Total;93368;4412;88955
2022;Hamburg;SOZ-03;Subsistence payments;38054;2468;35586
2022;Hamburg;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Hamburg;SOZ-05;Assistance towards healthcare;51982;-;51982
2022;Hamburg;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Hamburg;SOZ-07;Assistance for nursing care;199853;1301;198553
2022;Hamburg;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;16450;73;16376
2022;Hamburg;;Total;306338;3842;302496
2022;Hessen;SOZ-03;Subsistence payments;156348;11641;144707
2022;Hessen;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Hessen;SOZ-05;Assistance towards healthcare;81524;2207;79317
2022;Hessen;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Hessen;SOZ-07;Assistance for nursing care;339457;54038;285419
2022;Hessen;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;52668;8729;43940
2022;Hessen;;Total;629997;76614;553383
2022;Mecklenburg-Vorpommern;SOZ-03;Subsistence payments;28594;1857;26736
2022;Mecklenburg-Vorpommern;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Mecklenburg-Vorpommern;SOZ-05;Assistance towards healthcare;7755;48;7707
2022;Mecklenburg-Vorpommern;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Mecklenburg-Vorpommern;SOZ-07;Assistance for nursing care;65189;3658;61530
2022;Mecklenburg-Vorpommern;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;7523;143;7380
2022;Mecklenburg-Vorpommern;;Total;109060;5706;103353
